Date,MBI
20100104T1317,0
20100104T1318,0
20100104T1319,0
20100104T1320,0
20100104T1321,0
20100104T1322,0
20100104T1323,0
20100104T1324,0
20100104T1325,0
20100104T1326,0
20100104T1327,0
20100104T1328,0
20100104T1329,0
20100104T1330,0
20100104T1331,0
20100104T1332,0
20100104T1333,0
20100104T1334,0
20100104T1335,0
20100104T1336,0
20100104T1337,0
20100104T1338,0
20100104T1339,0
20100104T1340,0
20100104T1341,0
20100104T1342,0
20100104T1343,0
20100104T1344,0
20100104T1345,0
20100104T1346,0
20100104T1347,0
20100104T1348,0
20100104T1349,0
20100104T1350,0
20100104T1351,0
20100104T1352,0
20100104T1353,0
20100104T1354,0
20100104T1355,0
20100104T1356,0
20100104T1357,0
20100104T1358,0
20100104T1359,0
20100104T1400,0
20100104T1401,0
20100104T1402,0
20100104T1403,0
20100104T1404,0
20100104T1405,0
20100104T1406,0
20100104T1407,0
20100104T1408,0
20100104T1409,0
20100104T1410,0
20100104T1411,0
20100104T1412,0
20100104T1413,0
20100104T1414,0
20100104T1415,0
20100104T1416,0
20100104T1417,0
20100104T1418,0
20100104T1419,0
20100104T1420,0
20100104T1421,0
20100104T1422,0
20100104T1423,0
20100104T1424,0
20100104T1425,0
20100104T1426,0
20100104T1427,0
20100104T1428,0
20100104T1429,0
20100104T1430,0
20100104T1431,0
20100104T1432,0
20100104T1433,0
20100104T1434,0
20100104T1435,0
20100104T1436,0
20100104T1437,0
20100104T1438,0
20100104T1439,0
20100104T1440,0
20100104T1441,0
20100104T1442,0
20100104T1443,0
20100104T1444,0
20100104T1445,0
20100104T1446,0
20100104T1447,0
20100104T1448,0
20100104T1449,0
20100104T1450,0
20100104T1451,0
20100104T1452,0
20100104T1453,0
20100104T1454,0
20100104T1455,0
20100104T1456,0
20100104T1457,0
20100104T1458,0
20100104T1459,0
20100104T1500,0
20100104T1501,0
20100104T1502,0
20100104T1503,0
20100104T1504,0
20100104T1505,0
20100104T1506,0
20100104T1507,0
20100104T1508,0
20100104T1509,0
20100104T1510,0
20100104T1511,0
20100104T1512,0
20100104T1513,0
20100104T1514,0
20100104T1515,0
20100104T1516,0
20100104T1517,0
20100104T1518,0
20100104T1519,0
20100104T1520,0
20100104T1521,0
20100104T1522,0
20100104T1523,0
20100104T1524,0
20100104T1525,0
20100104T1526,0
20100104T1527,0
20100104T1528,0
20100104T1529,0
20100104T1530,0
20100104T1531,0
20100104T1532,0
20100104T1533,0
20100104T1534,0
20100104T1535,0
20100104T1536,0
20100104T1537,0
